 Was ist der so genannte „Hawaii-Typ“?;Ein Vulkantyp (auch Schildvulkan genannt) der besonders für Vulkane auf Hawaii typisch ist.;
Was ist eine Orientbeule?;Hautkrankheit, die im Nahen Osten (Orient) vorkommt. Verursacht durch einen Mückenstich setzen sich Bakterien unter die Haut, wodurch eine beulenartige Entzündung entsteht;
Was ist eine Ortsbrust?;Ort bedeutet Spitze, äußerstes Ende- (Deshalb bezeichnet man auch die Häuseransammlung am Ende des Weges als Ort). Ort wird aber auch das Ende eines Ganges im Bergwerk genannt. Die Ortsbrust ist die Wand, die man kurz vor einem Durchbruch vor der Brust hat.;
Was ist eine Ozeanmatte?;Eine aus Tau geflochtene Matte die heute noch besonders oft auf Yachten zu finden ist. Diese Matten wurden früher von Matrosen hergestellt, die sich auf einer langen Ozeanreise damit die Zeit vertrieben.;
Was ist eine Partnerspirale?;Eine Übung/Disziplin die man zu zweit in einem Rhönrad machen kann. (Dabei wird dieses Gerät spiralförmig bewegt.);
Was ist eine Partytaste?;Moderne Heizungsanlagen sind computergesteuert und schalten die Heizung zu programmierten Zeiten ein und aus. Damit man nicht friert, wenn es abends später wird (z.B. bei einer Party), kann man die Partytaste drücken, so dass weiter geheizt wird.;
Was ist eine Pechnase?;Pechnase = Loch in der Burgwand- dadurch wurde das Pech gegossen, um die Gegner abzuhalten.;
Was ist eine Pfannenwanderung?;Lockerung der Pfanne in einer künstlichen Hüfte.;
Was ist eine Pfeiftafel?;Schild im Bahnverkehr. Schwarzes P auf weißem Rechteck. Signalisiert dem Schaffner zu pfeifen, um Autofahrer bei ungesicherten Bahnübergängen vor den Zug zu warnen.;
Was ist eine Phantomspeisung?;Das die Stromversorgung bei z.B. Mikrofonen oder Schnurtelefonen versteckt über das selbe Kabel geht, das die Sprachsignale überträgt.;
Was ist eine Piephacke?;Krankheit von Pferden: wenn der Knöchel hinter dem Huf anschwillt.;
Was ist eine Pinkelplatte?;Wenn der DJ aufs Klo muss legt er eine möglichst lange Platte auf. Während diese „Pinkelplatte“ läuft kann er dann kurz pinkeln gehen.;
Was ist eine Polternummer?;Polternummer ist ein Begriff aus der Forstwirtschaft. Als Polter werden Baumstämme, die sich am Waldrand befinden, bezeichnet. Auf Grund des lauten Geräusches, das Baumstämme beim Bergrunterrollen zum Weg machen oder wenn Pferde die Stämme dorthin ziehen, wo sie abgeholt werden, werden die Baumstämme am Wegesrand Polter genannt. Die Baumstämme sind mit Nummern beschriftet, was als Polternummer bezeichnet wird.;
Was ist eine Polternummer?;Ein Begriff aus der Forstwirtschaft: Baumstämme die am Wegesrand liegen heißen Polter (weil sie mit lautem Poltern den Abhang heruntergerollt werden) Auf jedem der Holzstapel steht eine Nummer (die Polternummer) die dem Abfuhrunternehmen anzeigt welcher Holzstapel wann abgeholt werden muss.;
Was ist eine Pommes-Ampel?;Eine Farbskala zur Bestimmung des gesunden Bräunungsgrades von Pommes.;
Was ist eine Poolnudel?;Schaumstoffschwimmhilfe (nudelförmig);
Was ist eine Pornoschaltung?;Die Gangschaltung eines Bonanza-Rades (befindet sich auf der Fahrradgestell-Stange die zwischen den Beinen liegt);
Was ist eine positive Stufe?;Der fehlerhaft gefertigte Rand einer Zahnkrone.;
Was ist eine Pressfahne?;In der Zahntechnik: Wenn der Kunststoff nach dem Pressen hart geworden ist, entstehen an den Rändern der Prothese kleine Kunststoffplättchen die abgeschnitten werden müssen. Diese Kunststoffplättchen werden Pressfahnen genannt.;
Was ist eine Primitivrinne?;Zwischen dem 13. und 15. Tag nach der Befruchtung der menschlichen Eizelle entsteht eine rinnenartige Vertiefung aus der sich später die Wirbelsäule entwickelt. (Primitivrinne = erste Rinne);
Was ist eine Prüfungskoje?;Bei der Prüfung zum Raumausstatter muss man Boden verlegen, tapezieren, Fenster dekorieren und Polstermöbel aufstellen. Das wird in einer 3 x 3 m großen kojenartigen Raumzelle geprüft, der so genannten Prüfungskoje.;
Was ist eine Pseudotasche?;Ein Hohlraum zwischen Zahn und Zahnfleisch heißt „Tasche“. Dort können sich Keime bilden die zu Entzündungen führen. Die Pseudotasche ist die Vorstufe zur Tasche, weil sie noch nicht durch Entzündungen bis zum Kieferknochen vorgedrungen ist.;
Was ist eine Puffkanone?;Eine Puffkanone ist eine Vorrichtung, mit der Cerealien erhitzt werden, sodass sie zu kleinen knusprigen Bällchen werden, zum Beispiel für Müsli.;
Was ist eine Putzlippe?;Gummischlauch auf Walzen bei Spinnereimaschinen. Sie dient dazu herumfliegende Faserflusen von den Stoffen abzustreifen.;
Was ist eine Rachenbremse?;Eine Stechfliegenart (Bremse) die ihre Larven an der Nase von Rehen ablegt. Durch die Nase wandern die Larven dann in den Rachenraum wo sie sich festsetzen und weiterentwickeln. Irgendwann niest oder hustet das Reh die Larve aus- dann verpuppt sie sich und so entsteht die nächste Generation.;
Was ist eine Rammelkammer?;Rammelkammern sind Paarungskammern, die der polygame Borkenkäfer in der Rinde eines Baumes anlegt. Für jedes seiner Weibchen richtet das Männchen eine eigene Rammelkammer an. Wäre ja auch blöd, wenn die sich über den Weg laufen würden.;
Was ist eine Rasenbrille?;Eine spezielle Brille, deren Gläser jedes Stück Rasen herausfiltern dem es gesundheitlich nicht gut geht.;
Was ist eine Rastnase?;Eine kleine Plastiknase an Telefon- oder Netzwerkkabelsteckern, mit der der Stecker in die Dose einrastet (und dann besser hält).;
Was ist eine Rauchpeitsche?;Eine lange, dünne (geräucherte) Wurst.;
Was ist eine Rauschbrille?;Diese Brille simuliert einen Alkoholrausch von z.B. 1,3 Promille. (Benutzt die Polizei um Jugendliche über die Gefahren von Alkohol am Steuer aufzuklären);
Was ist eine Räute?;Der Griff am Schlüssel.;
Was ist eine Reibungsplatte?;Begriff aus dem Klettersport: Wenn eine Felsklippe vom Wasser ausgewaschen wurde, bietet sie dem Kletterer kaum Haftung. Die Haftung besteht nur durch die Gummisohle des Kletterers.  ;
Was ist eine Reiselatte?;Eine Reiselatte findet man an Propellerflugzeugen. Eine flache Winkelstellung bei den Propellern sorgt für einen geringeren Luftwiderstand und somit für weniger Spritverbrauch. In den Anfängen der Fliegerei waren die Propeller noch aus Holz. Hatte ein Flugzeug auf Reisen einen Propeller mit flacher Winkelstellung, nennt man diesen Reiselatte.;
Was ist eine Reizangel?;Ein zwei bis drei Meter langer Stock mit einer Schnur dran, an dem z.B. ein totes Tier hängt. Damit wedelt der Jagdhundtrainer vor der Nase seines Hundes herum, um ihm beizubringen welche optischen Reize mit welchem Befehl (Apport) in Verbindung zu setzen ist.;
Was ist eine Röchelschaltung?;Eine Schaltung beim Telefon mit der man sofort (ohne Wählen) eine Verbindung hat. Diese Schaltung braucht man zum Beispiel im Krankenhaus oder im Altersheim. Die Patienten röcheln manchmal nur noch → Röchelschaltung.;
Was ist eine Rostbinde?;Ein Schmetterling (mit rostroter Zeichnung auf der Oberseite der Vorder- und Hinterflügel);
Was ist eine Rückstellprobe?;Die Menge eines Stoffes, die man für spätere Proben zurückbehält.;
Was ist eine Rückwärtswäsche?;Der Frisör nennt die Kopfwäsche bei dem der Kopf des Kunden nach hinten gelegt wird „Rückwärtswäsche“.;
Was ist eine Sackaufgabe?;Mehlsäcke z.B. werden auf ein Gestell gelegt, aufgeschnitten so dass der Inhalt in einen Behälter fällt. Von dort wird das Mehl zur Weiterverarbeitung auf ein Förderband gebracht. Weil dort die Säcke zum Entleeren aufgegeben werden, nennt man die auf der Sammelstelle „Sackaufgabe“.;
Was ist eine Sackklatsche?;Ein Gerät, mit dem Säcke von Schiffen entladen wurden.;
Was ist eine Sackmulde?;Die Sackmulde ist eine 20 km lange und 6 km breite geologische Struktur nord- bis südöstlich der Stadt Alfeld in Niedersachsen. Benannt sie sie nach dem Alsfelder Ortsteil Sack.;
Was ist eine Sacktaste?;Die Sacktaste befindet sich an jedem Müllwagen der Stadtwerke Potsdam. Wenn ein Hausbewohner neben seiner Mülltonne einen nicht amtlichen Abfallsack zur Abholung auf die Straße stellt kommt diese Taste zum Einsatz. Zuerst werden die Daten des Müllbesitzers, die auf der Mülltonne stehen, gescannt und dann diese Taste gedrückt bevor der Extramüll mitgenommen wird. Ein paar Tage später erhält der Besitzer der Mülltonne (und damit des Extramülls) dann eine Rechnung für die Abholung des zusätzlichen Mülls.;
Was ist eine Sauerkrautdecke?;Eine Platte aus Holzwolle, von leichtem Zement zusammengehalten- sieht aus wie gehärtetes Sauerkraut. Deshalb nennt der Bauarbeiter solche Schall- und Wärmedämmplatten „Sauerkrautdecke“.;
Was ist eine Schamwand?;Die Schamwand ist die Trennwand zwischen den Pissoirs auf der Männertoilette.;
Was ist eine Schenkelfeder?;Eine Metallfeder die die beiden „Schenkel“ von z.B. Sicherheitsnadeln oder Wäscheklammern immer wieder in die Ausgangslage bringt.;
Was ist eine Schenkelspreizung?;Als Schenkelspreizung bezeichnet man den Winkel, den der Kragen bei einem Hemd hat.;
Was ist eine Schlafampel?;Eine Ampel die nur angeht, wenn sie betätigt wird. (Also z.B. eine Fußgängerampel);
Was ist eine Schlaftomate?;Ein Expeditionsunterschlupf.;
Was ist eine Schlaggemeinschaft?;Eine Schlaggemeinschaft ist eine Gemeinschaft von Taubenzüchtern, die sich gemeinsam einen Taubenschlag teilen. Sie teilen die Kosten für Futter, fahren gemeinsam zu Flugwettbewerben usw.;
Was ist eine Schlosszunge?;Eine Lasche am Sicherheitsgurt in Autos.;
Was ist eine Schluckertoilette?;An einem Flughafen wird zum Beispiel ein großer Mann bei der Kontrolle festgehalten, um genauer unter die Lupe genommen zu werden. Man macht Röntgenaufnahmen von ihm und stellt fest, dass er in seinem Körper Drogen schmuggelt, meist in einem Kondom, das er geschluckt hat. Diese müssen wieder raus aus dem Körper, auf der so genannten Schluckertoilette. Es ist eine ganz normale Toilette, deren Inhalt dann in einem Kasten bleibt. Der Zöllner, der das anschließend untersuchen muss, bekommt eine Kotzulage.;
Was ist eine Schminkbrille?;Eine spezielle Brille, bei der man jedes der beiden Gläser einzeln herunterklappen kann, um zumindest mit einem Auge scharf zu sehen, während man sich das andere Auge schminkt.;
Was ist eine Schmuckdroge?;Fenchel oder Ringelblumenblüten sind z. B. Schmuckdrogen. Natürliche Bestandteile, z. B. Fenchel, die natürlichen Arzneimitteln, z. B. Tee, nur zugeführt werden, um es zu schmücken, z. B. die entsprechende Farbe zu erhalten, nennt man Schmuckdrogen. „Droge“ war früher ein gängiger Begriff für Arzneimittel.;
Was ist eine Schneckendusche?;Eine Dusche mit schneckenförmiger Außenbegrenzung;
Was ist eine Schneebrause?;Das Schlauchende eines Feuerlöschers;
Was ist eine Schneefangnase?;Eine Anbringung an Dächern zum Schneeabfangen.;
Was ist eine Schockhose?;Nach einem schweren Schock, z. B. nach einem Unfall, sackt das Blut in die Beine ab und es werden eventuell lebenswichtige Organe, wie das Herz oder Gehirn bleiben unterversorgt. Dafür gibt es eine Hose mit Luftpolstern. Diese Hose wird in so einem Fall angezogen und dann die Luftpolster mit Luft befüllt. So wird die Hose eng und das Blut sackt weniger ab und wird wieder mehr in die lebenswichtigen Organe gepumpt.;
Was ist eine Schokoladen-Fruchtzwerg?;Eine dunkle Fledermaus-Art aus der Fruchtvampir-Gattung.;
Was ist eine Schönwetter-Katastrophe?;Hobbyastronomen erleben eine „Schönwetter-Katastrophe“,  wenn sie mehrere Nächte hintereinander einen komplett wolkenlosen Himmel durchs Fernrohr beobachten können. Katastrophe deshalb, weil sie dann zu nichts anderem mehr kommen (kaum schlafen- sich um sonst nicht mehr richtig kümmern);
Was ist eine Schosskarte?;Viele Veranstalter bieten inzwischen sogenannte Schosskarten an. Wenn ein Erwachsener ein bis zu 6 Jahre altes Kind dabei hat, darf er das Kind mit so einer Schosskarte auf dem Schoss kostenlos mitnehmen.;
Was ist eine Schubrosette?;Die Abdeckung rund um ein aus der Wand kommendes Rohr.;
Was ist eine Schuppenschablone?;Ein Werkzeug von Dachdeckern. Damit werden Naturschiefersteine geschnitten, die dann in Schuppenform verlaufen. So bekommt man ein gleichförmiges Muster auf dem Dach.;
Was ist eine Schuppentafel?;Eine Einsteckvorrichtung (z.B. für Mikrofilmkarten);
Was ist eine Schusterkugel?;Eine mit Wasser gefüllte, große Glaskugel, die vor eine Kerze gestellt wurde und so für mehr Licht sorgte. Bevor es elektrisches Licht gab, wurde sie verwendet damit der Schuster auch nachts arbeiten konnte.;
Was ist eine Schwabbellatte?;Um Fließestrich gleichmäßig zu verteilen und die Luftbläschen aus der Masse zu bekommen wird die so genannte „Schwabbellatte“ verwendet. Der Estrich schwabbelt hin und her während mit dieser Latte (eine Art Besen ohne Borsten) der Boden gerade gemacht wird.;
Was ist eine Schwabbelscheibe?;Die Schwabbelscheibe ist eine aus Stoffscheiben bestehende Scheibe für Poliermaschinen. Mit ihr wird Polierwachs aufgetragen.;
Was ist eine Schwalbenschwanzverbindung?;Eine Eckverbindung aus dem Schreinerhandwerk.;
Was ist eine Schwanzschlinge?;Um z.B. Lachse aus dem Wasser holen zu können, braucht man zusätzlich zur Angel eine Schwanzschlinge, weil sie für den Haken zu schwer sind.;
Was ist eine Schwanzschraube?;Verschluss am Lauf eines Vorderladers (Vorderlader = Gewehr);
Was ist eine Schwanzwaage?;Flugdrachen benötigen einen Schwanz zur Flugstabilisation. Bei einem („normalen“) viereckigen Drachen wird dieser Schwanz einfach an der Ecke angebracht die nach unten oder hinten zeigt. Bei anderen Drachentypen (z.B. bei sechseckigen) gibt es nicht eine, sondern zwei Ecken, die nach unten zeigen. Um bei solchen Drachen den Schwanz befestigen zu können, benötigt er eine „Schwanzwaage“, die den Schwanz in eine ausgewogene Position bringt. Das wird durch zwei Leinen an den zwei Ecken erreicht die verbunden ein Dreieck bilden, an dessen neuer Ecke der Schwanz hängt.;
Was ist eine Schwarzräumung?;Schneeräumung auf der Straße, so dass danach die Straßen (bzw. der schwarze Teer) wieder zu sehen sind.;
Was ist eine Schweinerolle?;"Es ist ein Begriff aus dem Sport. Der Original Name der Schweinerolle lautet ""Soto Maki Komi"" und kommt aus dem Judo. Es ist eine Wurftechnik beim Judo.";
Was ist eine Seetroen-Brille?;Eine Brille ohne Gläser gegen Übelkeit beim Autofahren.;
Was ist eine Senkwurst?;Zu Befestigung von Bach- und Flussufern kann diese (alte) Methode verwendet werden: Weidenruten werden in Längsrichtung ausgelegt- darauf werden Steine geschichtet (ca. einen halben Meter hoch)- dann wird alles mit Draht umwickelt und an der Uferböschung ins Wasser gelegt. Durch die Feuchtigkeit treiben die Weiden aus und befestigen mit ihren Wurzeln dadurch die Ufererde. Da diese Rolle aus Weidenruten und Steinen aussieht wie eine Wurst (und versenkt wird?) heißt sie Senkwurst.;
Was ist eine Singlestütze?;Beim Tennis gibt es zwei verschiedene Außenlinien (die äußere für ein Doppel, die innere für ein Einzelspiel). Damit das Netz beim Einzel nicht durchhängt gibt es eine zusätzliche (einzelne) Stütze, die Singlestütze. (Beim Doppel würde diese stören);
Was ist eine Sirupkurve?;Die Sirupkurve, analog zur Bierkurve, ist ein Bereich für Kinder im Fußballstadion des FC Winterthur in der Schweiz. Es ist eine Fanzone mit eigener Sitzplatztribüne und einer Sirupbar.;
Was ist eine Sitzbagatelle?;Sitzbagatelle ist eine Erfindung der Münchner Stadtverwaltung. Will man Außengastronomie in München betreiben, also im Freien bedienen, verkaufen und Sitzgelegenheiten zur Verfügung stellen, sind zahlreiche Auflagen erforderlich. Für Konditoren, Bäckereien und Metzgereien, die einfach nur im Freien ein paar Tische aufstellen wollen, ohne dort zu bedienen oder auszuschenken, gibt es die Sitzbagatelle. Sie ist sehr unbürokratisch und befreit die Ladenbesitzer vom aufwendigen Genehmigungsverfahren.;
Was ist eine Skelettpistole?;Ein Handwerksgerät zum Versiegeln, Silikon einspritzen,…;
Was ist eine Snackwelle?;Ein wellenförmiges Gestell in das Snacks gelegt werden können. (also belegte Brote, Toasts, Hot Dogs, usw.);
Was ist eine so genannte „amerikanische Unterlage“?;Die Wurzeln amerikanischer Rebsorten, auf denen europäische Rebpflanzen gepfropft werden, weil die amerikanischen Wurzeln nicht von der Reblaus angegriffen werden.;
Was ist eine so genannte „Balkonfrage“?;Eine journalistische Fragetechnik, bei der vor der eigentlichen Frage ein Vorbau (gesicherte Fakten, eine Tatsache) formuliert wird. Also z.B: „Die meisten Menschen waren laut einer Umfrage dagegen (beweisbare Tatsache), warum haben Sie trotzdem… (die eigentliche Frage)“.;
